,state,race,type,all_workers_n,artists_n,artists_share,location_quotient
230,Michigan,Other,Architects,120390,,,
231,Minnesota,Other,Architects,83065,50.0,0.0006019382411364593,0.6949608508628553
232,Mississippi,Other,Architects,17430,0.0,,
233,Missouri,Other,Architects,70070,25.0,0.00035678607107178533,0.4119232415935712
234,Montana,Other,Architects,37130,0.0,,
235,Nebraska,Other,Architects,24240,,,
236,Nevada,Other,Architects,69460,0.0,,
237,New Hampshire,Other,Architects,12270,0.0,,
238,New Jersey,Other,Architects,85410,105.0,0.0012293642430628,1.419348301856205
239,New Mexico,Other,Architects,91840,35.0,0.00038109756097560977,0.4399917917448405
240,New York,Other,Architects,234265,440.0,0.0018782148421659,2.168471274312949
241,North Carolina,Other,Architects,145630,30.0,0.00020600151067774497,0.2378366672124826
242,North Dakota,Other,Architects,23305,0.0,,
243,Ohio,Other,Architects,121180,80.0,0.0006601749463607857,0.7621973669176177
244,Oklahoma,Other,Architects,242885,85.0,0.00034995985754575213,0.4040421155310919
245,Oregon,Other,Architects,93460,95.0,0.0010164776374919,1.173562527778235
246,Pennsylvania,Other,Architects,104810,90.0,0.0008586966892472093,0.9913983545316436
247,Rhode Island,Other,Architects,16140,55.0,0.0034076827757125,3.9343008292822415
248,South Carolina,Other,Architects,46335,,,
249,South Dakota,Other,Architects,32695,0.0,,
250,Tennessee,Other,Architects,60575,,,
251,Texas,Other,Architects,261190,275.0,0.0010528733871894,1.2155828206404415
252,Utah,Other,Architects,57995,,,
253,Vermont,Other,Architects,5900,0.0,,
254,Virginia,Other,Architects,128845,95.0,0.0007373200357018121,0.8512643396806537
255,Washington,Other,Architects,214925,325.0,0.0015121554030475,1.7458415726416192
256,West Virginia,Other,Architects,10700,0.0,,
257,Wisconsin,Other,Architects,66920,,,
258,Wyoming,Other,Architects,10830,,,
259,Puerto Rico,Other,Architects,2275,0.0,,
260,Alabama,Hispanic,Landscape Architects,88165,0.0,,
261,Alaska,Hispanic,Landscape Architects,26875,0.0,,
262,Arizona,Hispanic,Landscape Architects,1033370,70.0,6.773953182306433e-05,0.6038489027737797
263,Arkansas,Hispanic,Landscape Architects,101405,0.0,,
264,California,Hispanic,Landscape Architects,7470730,550.0,7.362065019081132e-05,0.6562748168282605
265,Colorado,Hispanic,Landscape Architects,594525,185.0,0.00031117278499642574,2.773880180984292
